,제목,본문,본문 댓글,답변,태그,,
50,다솜 입력기 QT5 모듈 컴파일 도움 요청,"다솜 입력기 QT 모듈 만들고 있습니다.
QT4 모듈은 가까스로 완성되었는데...
컴파일은 되는데 QT5 모듈이 물리지가 않네요..
Makefile.am 사용하여 컴파일하고 있습니다.
qmake 또는 moc 를 사용하지 않아서 플러그인이 물리지가 않나... 그렇게 추정할 뿐입니다.
팔자에도 없는 C++, QT 하느냐 거의 욕 나올 지경에 이르렀습니다.
C++, QT 하시는 분이 컴파일 관련하여 도움을 좀 주셨으면 좋겠습니다.
(컴파일은 됩니다. QT5 모듈이 물리지가 않아서 그렇습니다.)
도와주신다는 분이 계시면 작성 중인 소스 커밋하여 올리겠습니다.

아.. 그리고 QT4 는 컴파일 및 끝글자 버그 없이 실행 잘 됩니다. QT4의 경우 마우스 클릭하면 reset 하게 만들어놓아서 끝글자 버그 업슴다 ㅋㅋㅋ",No Comments Exist,"
개삽질해서 성공했습니다.

정리되는대로 며칠내로 Qt5 지원 코드 올라갈 겁니다.




<---------댓글----------->



*************************************************************
",qt,,
51,vi 를 잘못사용해서 터미널이 먹통이 됬어요! 이 터미널 어떡하면 좋죠?,"생활코딩에서 명령어 /? 를 입력하면 설명이 나온다길래 해보았습니다.

저는 터미널에 vi /? 를 입력했고, 그 다음은 어떤 명령어도 먹히지 않는 먹통 상태가 됬습니다.

파란색 ~ 문자가 계속 나오고, 그상태에서 타이핑을 계속 했더니 콘솔화면에 입력만 가능한 상태가 되더군요.

Ctrl + Alt + 2~6 으로 터미널을 바꿔서 쓸 수는 있지만 저는 이 먹통이 된 터미널을 해결하고 싶어요.

도와주세요!",No Comments Exist,"
ESC 키 누르면 명령 모드로 돌아갑니다.

명령 모드에서 :q 누르고 엔터키 치면 종료됩니다.

:q! 누르고 엔터키 치면 저장없이 종료

:wq! 누르고 엔터키 치면 저장하고 종료




<---------댓글----------->



고맙습니다! 해결했어요~ :)



*************************************************************
",vi,,
52,우분투 설치후 속도,"우분투 15.04버전을 노트북에 설치해서 가상(vmplayer)로 돌리는데요 문제가 속도가 너무안나오네요..

데스크탑에서는 문제없는데 노트북에서 램2g할당해줬는데 인터넷과 자체os속도(?) 마우스를 움직이는데도 끊기는것

같고 한글로 변경하려고 언어지원창 키는데만해도 시간이.. 어떻게 설정해줘야 문제없이 돌릴수 있을까요?

용도는 그냥 웹서핑이나 간단한 터미널놀이(?)정도만 합니다.

노트북 성능은 i7 8g ssd입니다

 

아 참고로 모델이 울트라북인데 이거랑 상관이 있을지는 모르겠네요",No Comments Exist,"
일단 바이오스 Intel 가상화 기술을 enable 해 주시고,

게스트 확장 프로그램을 설치해 보시기를 추천합니다.




<---------댓글----------->



*************************************************************
","노트북
설치",,
53,이 문제를 해결하고 싶습니다.,"

저장소 정보 다운로드 실패... 이제 그만 하라고 싶네요.. 이제 저게 필요가 없게 되어서 그만 불러오라고 하고 싶은데 방법이 없나요? ",No Comments Exist,"

sudo add-apt-repository --remove ppa:someppa/ppa




<---------댓글----------->



*************************************************************
",저장소,,
54,Wine을 사용하여 Line을 사용중인데 한글이 제대로 입력이 안됩니다.,"리브르오피스 같은데나 지금 질문 올릴때도 한글이 입력이 잘되는데요

wine 으로 라인깔아서 사용중인데

한글이 이렇게 나옵니다

""눈ㅁ루로 앓ㄱㅗ 있ㄷ가ㅗ 이러ㅎㄱㅔ""

와인 설정을 바꿔줘야 할거 같은데 어떻게 해야 될지 모르겠어요 ㅠㅠ",No Comments Exist,"
입력기는 뭘 쓰시나요?




<---------댓글----------->



ibus사용하고 있습니다.



*************************************************************



ibus 이시라면 ibus -> 설정에서 ""단어 단위로 입력""에 체크 해주시고 적용 을 눌러주세요.

Line은 아니지만 저는 카카오톡 Wine의 경우 이 방법으로 해결하였습니다.




<---------댓글----------->



답변 감사합니다. 잘 해결됐어요^^



저도 그렇게 했는데 카카오톡에서 한글 입력이 안되네요 ㅠ.ㅠ



*************************************************************
",wine-line-한글입력,,
55,Gnome Launcher를 개발해 보고 싶은데 질문 입니다.,"Linux Desktop 환경을 개발해 보고 싶습니다.

한 번 다운해서 쓸려고 했는데 뭔가 제가 원하는 게 없네요..

해서 개조를 해보려고 합니다. 그러려면 무언가 알아야 하는데.. 
무얼 해야 하나요?",No Comments Exist,"
질문이 이해가 안 됩니다. 그냥 바탕화면에 아이콘 만들고 클릭하면 실행되는데... 그걸 구현한다는 말씀이신지요.




<---------댓글----------->



구현 하는 겁니다. 왜 리눅스에는 여러가지 GUI 환경 구성 프로그램들이 있잖습니까.
Desktop환경 개발이라고 써야겠네요. 질문 재 수정 하겠습니다.
커스터마이즈, 즉 기존의 것을 일부 수정해 보는 것도 해보고 싶습니다.



*************************************************************
",gnome개발,,
56,우분투 부팅이 매우 불안정합니다,"안녕하세요. 우분투 초보 유저입니다.

예전 작은 데스크탑을 서버 컴퓨터로 돌리는 데 우분투를 깔아 썼는데요,

그 때는 전혀 문제가 없었던 부분입니다.

 

새 노트북을 사서 우분투를 깔았는데, 부팅 문제가 발생하여 온갖 방법을 시도해 봤지만 해결이 되지 않습니다.

노트북은 ACER의 ES1-131-C1R8 이고, 내장 스토리지가 eMMC인 기종입니다.

14.04 LTS를 legacy 부팅으로 설치했습니다. (uefi로 하니 설치 프로그램 자체가 구동이 안되더군요)

파티션은 root 27Gb(ext4), 스왑 4.7Gb 정도로 잡았습니다.

 

설치 시 커널 업데이트를 함께 진행하면 부팅이 되지 않습니다.

(어떻게 부팅이 되지 않는 것인가에 대한 것은 뒤에 자세히 설명하겠습니다)

설치 시 커널 업데이트 옵션을 체크하지 않고, 기본 설치만 하면 부팅이 됩니다.

그러나 그 후에도 커널 업데이트를 하고 나면, 원래 커널은 부팅이 되는데

업데이트된 커널은 부팅이 되지 않습니다.

그리고 이 부팅이 된다는 것도 매우 간헐적입니다.

GRUB 메뉴로 진입하여 그 상태에서 약간의 시간을 기다린 뒤 구버전 커널로 부팅 하면

약간 더 잘 되는 것 같은 느낌도 있는데 이것마저도 불확실합니다.

(원래 설치 커널은 3.19.0-25, 업데이트 커널은 3.19.0-26 입니다)

 

앞에서 부팅이 되지 않는 현상에 대한 자세한 설명을 드리겠습니다.

정확히 말하면 initrd.img-~~~~~ generic 을, 그러니까 램디스크 이미지를 올리는 과정에서 먹통이 됩니다.

콘솔로 로그를 echo 하는 커맨드가 있는 부트 루틴에서는 '램디스크 이미지를 어쩌구 저쩌구' 가 뜨고 나서

커서가 깜빡이지 않은 상태에서 멈추고, echo 커맨드가 없는 루틴에서는 아예 검은 화면입니다.

1시간 이상도 기다려 봤지만 그대로 멈춰 있더군요.

nomodeset, 해상도 고정 등 몇 가지를 시도해 봤지만 소용이 없었습니다.

우분투 설치 디스크로 라이브 부팅하여 grub update,

boot-repair 라이브 디스크로 부팅하여 grub 복구도 해 보았지만 계속 같은 증상입니다.

 

도저히 어떻게 해결해야 할 지 알 수가 없네요.

구버전 커널이라도 안정적으로 부팅이 된다면 여기에라도 만족하고 쓸텐데,

구버전 커널도 부팅이 됐다 안됐다 하니 어떻게든 해결을 하고 싶습니다.

선배님들 도움 부탁 드립니다!",No Comments Exist,"
답변은 아닌데...

저도 도시바 랩탑 쓰며 특정 커널 사용시 잦은 시스템 다운
특정 업그레이드 이전 무선랜 속도 저하
비표준 acpi 전력 문제 등으로 마니 답답했는데요

크롬북이나 우분투 인증 랩탑을 쓰면
하드웨어 드라이버가 우분투에 안정적으로 돌아가
이런 문제가 없이 쓸 수 있는지 선배님들 경험이 궁금하네요...

근데 acer는 리눅스가 깔려 출시되는 제품은 많지만 우분투 인증 메이커에는 없더군요... zzz




<---------댓글----------->



지금 제가 쓰는 기종도 에이서에서 자체 개발한 리눅스 계열 OS를 깔아 보내는 것 같더라구요.
아, 오늘 28버전 커널이 올라와서 업데이트 했더니, 거짓말 같이 안정적으로 부팅됩니다.
결국 커널 자체 호환성 문제인가 보네요. 그 동안 저는 뭘 한 건지...
답변으로 하신 건 아니지만 일단 문제가 해결되었기에 채택 드릴게요~



*************************************************************
","노트북
부팅
램디스크
initrd
emmc",,
57,동영상 재생 시작지점 종료지정 지정,"터미널이든 어플이든
명령어 입력이나 클릭 한방으로
a 라는 동영상 파일 45분 지점부터 재생 시작하여
95분 부분에서 재생 종료 (혹은 시스템 종료 혹은 효과음 재생 등) 하라고
쉽게 사용할 수 있는 방법이 혹시 있나요?",No Comments Exist,"
vlc yadong.avi --start-time=600

이런식이요?




<---------댓글----------->



*************************************************************



vlc --start-time=2000 --stop-time=5000 test.avi

mpv --start=10 --end=20 test.avi

mpv는 end 대신에 leagth 쓰면 길이로도 되구요.

vlc 는 stop time 의 초가 안 맞아서 이상하게 긴 배수로 찾아야 하는 경우가 있는데 mpv 괜찮아요.

--fs 하면 풀스크린

--aspect=16:9 또는 4:3 으로 모니터크기에 맞출 수도 있구요.




<---------댓글----------->



*************************************************************
",동영상,,
58,키보드로 마우스 처럼 ??,리눅스에서도 윈도우처럼 마우스를 움직이게  할 수 있나요?,No Comments Exist,"
네, 그런 기능이 있습니다.

다음을 참고하세요

http://askubuntu.com/questions/68807/how-can-i-configure-mousekeys




<---------댓글----------->



*************************************************************
",mouse,,
59,우분투 오늘부터 사용 시작한 유저입니다.  현재 우분투 최신 버전이 14.04가 맞는지요?,"현재 14.04를 쓰고 있습니다. 이게 최신 버전이 맞나요?

맞다면 다음 버전 업그레이드는 언제로 예정되어 있나요?

6개월에 한번씩 업그레이드 된다고 들었는데 맞나요?

다음 버전이 나오면 자동적으로 업그레이드 되는 건가요 아니면 본인이 업그레이드 해야 하는 건가요?

업그레이드는 우분투 홈페이지에서 하나요?",No Comments Exist,No Answers Exist,"14
04",,
60,"~:1.pid, ~:2.pid 파일이 삭제되어 vncserver를 kill 할수가 없습니다.","안녕하십니까 우분투 사용을 갈망하는 초보자입니다.

오늘 VNCviewer라는 GUI 환경을 구성해주는 프로그램에 혹해 우분투가 설치된 서버 컴퓨터에서 VNCServer 구축을 시도했습니다. 인터넷에 올려져 있는 글을 따라서 하다보니 처음  :1 이라는 것으로 서버가 생성되었고  윈도우가 설치되어 있는 제 컴퓨터에서 vncviewer를 통해 ip:5901로 들어가는 것 까지는 성공했습니다. 하지만 GUI 환경이 구성이 안되고 터미널  창만 뜨기에 문제를 해결하고자 여차저차 하던 중 문제가 발생하였습니다.

다시 서버 구축을 해보겠다고 서버를 죽이지 않고 .vnc 폴더와 vnc 관련 패키지들을 삭제하니 .pid 파일까지 지워지는 바람에 서버를 kill할 수 없게 되었고, tightvncserver의 서버들과 얽혀서 4개의 서버가 생성되었습니다. 어찌하다보니 :3과 :4는 지워진 상태지만 :1과 :2는 .pid 파일이 없어 서버를 kill할 수 없다고 합니다. 어떻게 이 문제를 해결해야 할까요? 고수님들의 답변 부탁드립니다.

또한 혹시  vncserver 구축 자료가 잘 나와있는 곳이 없을까요?

여러분들의 도움에 미리 감사드립니다.",No Comments Exist,No Answers Exist,"vnc
server_kill
pid
vncserver",,
61,rpm2cpio install error,"rpm2cpio 설치에러가 나서 찾아보니 apt-get update 를 하라는 글이 있어서

apt-get update , apt-get upgrade  하고 나서도

같은 에러가 납니다.  apt-get upate 시 에러나는게 많이 발생하는데 이것과 관련있나요

 

 

 

 

sudo apt-get install rpm2cpio

knkg@ubuntu:~/Downloads$ sudo apt-get install rpm2cpio
Reading package lists... Done
Building dependency tree       
Reading state information... Done
Package rpm2cpio is not available, but is referred to by another package.
This may mean that the package is missing, has been obsoleted, or
is only available from another source

E: Package 'rpm2cpio' has no installation candidate

sudo apt-get update

Err http://security.ubuntu.com quantal-security/main Sources
  404  Not Found [IP: 91.189.91.13 80]",No Comments Exist,"
rpm2cpio 패키지가 없다고 나오는군요.




<---------댓글----------->



*************************************************************
","우분투
apt-get",,
62,우분투 8.10 환경에서 윈도우 실행파일 .exe 어떻게 실행시키나요?,https://www.exploit-db.com/exploits/12582/ 여기에 있는 파일을 다운로드 받아서 실행시키고 싶습니다. 가르쳐주세요^^,,,No Comments Exist,No Answers Exist,우분투
63,하드디스크를 교체 하고 싶은데 어떻게 하나요?,"현재 1TB 하드디스크를 사용 중입니다

2TB 하드가 하나 생겨서 1TB 하드를 빼고 2TB로 교체 하려고 하는데요

어떻게 해야 하나요?

기존의 우분투 시스템과 모든 파일들 옮겨서 교체하고 싶은데 방법좀 알려주세요

그냥 단순히 파일만 통째로 옮긴다고 될 일은 아닌거 같아서 여기에 이렇게 질문올립니다","리눅스는 파티션을 통째로 복사해버리는 dd if 라는 명령어가 있습니다.



sudo lshw -c disk

명령어로 디스크의 이름을 파악한 뒤

sudo dd if=/dev/sda of/dev/sdb

sda 가 원본 sdb가 복제대상

자세한건 dd명령어에 대해서 검색해보시기 바랍니다

<-------------------------------->

dd 로 복사하면 파티션 테이블까지 그대로 복사되므로... 1TB 밖에 못쓸 것 같은데요..

<-------------------------------->

시스템 파일까지 복사하여 정상 작동하게 만들기가 매우 어렵고.. 그 시간이 훨씬 많이 소비되니 데이터만 백업 받고, 우분투 새로 설치하는 게 좋을 것 같습니다.","
문제가 되는것이 다른것보다, 첫번째로 grub를 비롯한 부트시스템일거 같네요. ​

기존시스템의 파티션과 포맷을 똑같이 하시고 /boot를 비롯한 파일들을 그대로 옴겨주고 ,권한이나 소유자도 똑같이 해주셔야 할거 같습니다.이렇게 하면 제 생각에는 잘작동하지 않을까 생각합니다만, 실제로 해보셔야 알거 같습니다;;;




<---------댓글----------->



어..... tar 백업 복구로 우분투 시스템을 
파티션 바꾸어 사용하긴 쉬운데요...
문제 없던데..........
하드교체도 비슷하지 않을까요?



*************************************************************
",hdd,,
64,xlsx 나 docx 가 압축파일관리자에 연결되어 있어요,"루분투 14.04.03 쓰는데요.

docx 나 xlcx 같은 ms office 확장자 파일이 압축관리자 프로그램에 연결되어 있습니다.

docx 와 xlcx 의 연결 프로그램을 리브레 오피스로 바꾸면 (오른쪽 버튼 연결 프로그램에서 항상 이 프로그램으로 열기 해서)

zip 같은 압축파일이 리브레오피스로 열려 버리고

이렇게 해서 압축 확장자 파일의 연결 프로그램을 원래대로 압축관리자로 바꾸면

덩달아 docx 의 기본 연결 프로그램도 압축관리자로 되어 버립니다. (황당)

lxde 의 버그인가요? T_T",No Comments Exist,"

안녕하세요, 루분투는 현재 제가 쓰고 있지 않아서 데스크탑환경에 맞추어 정확히 말씀드리기는 힘들지만, 우분투 기준으로는 아래와 같습니다.

연결하고자 하시는 파일에서 마우스 오른쪽 클릭 -> 속성
속성에서 -> 열 프로그램 탭 클릭
원하시는 프로그램을 선택하시고 ""기본값으로 설정""을 클릭합니다.





<---------댓글----------->



*************************************************************
","확장자
연결프로그램",,
65,우분투14. 04 LTS인데요 한개의 파일의 이름 최대문자수가 몇자인가요?,"안녕하세요? 다름이 아니고 우분투 14.04LTS를 쓰고 있는데요. 한개의 파일의 문자수가 얼마인지 궁금합니다. (파일이름 최대 문자수) 윈도는 255자인걸로 알고 있는데 리눅스(우분투)는 얼마인지 궁금 합니다. 그리고 이 파일이름 문자수가 디렉토리 경로의 영향도 받는 지 궁금해요..

 

p.s 제가 왜 이 질문을 하냐면 안드로이드폰과 대용량 저장소로 연결하는데 간혹 ""파일 이름이 너무 깁니다""라는 식으로 하드에 복사가 안되더라구요.. 드롭박스 데스크톱앱에서도 그런 문제가 생기고..",No Comments Exist,"
최대 이름 길이가 255 bytes 라서 영어라면 255자가 맞지만 한글이면 대략 127자일겁니다.




<---------댓글----------->



*************************************************************



파일명과 경로명이라는게 있는데요. 파일명은 a.txt 같이 흔히 보이는 그걸 말하고, 경로명은 파일시스템 내에서 해당 파일의 경로+파일명(윈도라면 C:\Users\Anon\a.txt, 유닉스라면 /home/Anon/a.txt 형식)입니다. 보통 이것의 최대길이는 파일시스템에서 결정되는데요. 윈도 NTFS 나 리눅스 파일시스템이나 둘다 충분히 긴편이라 문제가 안됩니다.

다만, 윈도에서는 한가지 문제가 있는데요. 아마 옛날 도스시절의 전통에서 아직도 안바뀌고 있는걸로 추정되는데, 윈도 API 에서는 상위폴더명과 파일명등을 다 포함한 경로명이 최대 260문자로 정의되어있습니다. 그 이상도 '가능'은 하지만, 제대로 완전히 지원되는건 아니구요. 그 결과, 윈도 기본 파일 익스플로러조차 지원을 안하고 있습니다. 따라서, 긴 경로명을 따로 신경써서 지원하는 프로그램이 아닌, 거의 대부분의 프로그램에서는 경로명이 260문자로 제한됩니다. 이거보다 길면 해당 프로그램에서 생성, 복사, 삭제등이 다 안됩니다.

저장소가 테라바이트 수준인 오늘날 기준으로 파일명이 260문자인건 그다지 문제가 없지만, 경로명이 260문자인건 상당히 짧은편이기때문에 그런제한없이 사용할 경우 그 한계를 쉽게 넘을 수 있습니다. 그렇기때문에 이보다 긴 경로명을 쉽게 사용가능한 리눅스와 윈도간 전송은 문제가 생길 수 있고요. 다만, 이건 윈도 해당 프로그램에서 지원을 안하는것일뿐, NTFS 파일시스템 자체는 긴 경로명도 지원을 하기때문에 불편을 감수하면 사용할 수는 있습니다.

즉, 문제를 우회하려면 리눅스와 윈도간 네트워킹 할 디렉토리는 해당 파일명과 상위디렉토리 이름등을 짧게 해서 260바이트 이하로 유지하거나 파일 익스플로러 말고 긴 경로명을 지원하는 다른 파일 매니저 프로그램을 사용하거나 그냥 cmd 열고 작업하던가 해야됩니다.




<---------댓글----------->



*************************************************************
","파일
이름
문자
255자
파일이름",,
66,ASUS X751L 리눅스 설치문의,"안녕하세요. 저는 최근에 ASUS X751L을 구입한 리눅스 사용자입니다.

현재 저의 컴퓨터는 12.04LTS는 USB를 이용한 설치방법으로 설치가 원활합니디만, 제가 원한것은

14.04LTS / mint 17.2 Cinnamon / Fedora 21 이상의 버젼의 리눅스의 설치를 원하고 있습니다.

 

문제는 14.04LTS/ Fedora 21은 USB로는 정상적인 설치화면이 나타나지않아 진행조차 되지않으며 mint 17은 설치는 가능하나 바이오스가 부트로더를 찾지 못하고 있습니다.

mint17같은 경우에 boot-repair를  여러차례 사용해봤지만, 부트로더인 grub를 복구하지는 못했습니다.

 

 설치에 도움을 받았으면 합니다.",No Comments Exist,"

안녕하세요, 현재 문제로는 
1. ASUS X751L 기종의 바이오스가 오래 되어서 그런것 같습니다.
제조사에서 제공하는 바이오스 업데이트를 받아 시도해 보시면 해결 될 수가 있습니다.

2. 리눅스를 USB에 굽는 프로그램의 특성일 수 있습니다. 
대표적인 프로그램은 Pendrive for Linux 가 있으며, 이외에도 몇가지 다른 프로그램들이 있으니, 돌려 사용해 보시기 바랍니다.




<---------댓글----------->



*************************************************************
","grub
mint
asus
x751l",,
67,uevnt의 rules 파일을 수정하여 vid/pid를 입력 하는 포팅 작업,"
ubuntu-12.04.3-lts-desktop-armhf_odroidxu_20131217.img 버전에 LCD 터치가 안된다고하니 
hid-multitouch.ko 가 포함되어 있고 uevnt의 rules 파일을 수정하여 vid/pid를 입력 하는 포팅 작업이 있어야 할 것 같습니다.
라고만 하는데 어떻게 어디서 부터 해야되는지 모르겠습니다.",No Comments Exist,No Answers Exist,우분투,,
68,리눅스. 백업 관련 질문 입니다.,"안녕하세요? 리눅스 중수(?) 입니다.

저의 질문은 제가 백업 데이터를 따로 폴더를 만들어서 다른 곳에 백업 관련 자료 보관함을 만들었는데 문제는 백업 하다가 뭐가 백업이 안 된다면서 끝마치는데 문제의 원인이 권한 문제 였습니다. 해서 sudo로 권한을 주어 백업을 하는데..

불편 합니다. 차라리 처음 부터 Root권한 주어서 해결하고 싶군요..

근데 이걸 어캐 하면 좋으련지... deja-dup을 백업 소프트 웨어로 씁니다.

백업 데이터를 안전한 곳에 보관하려고 했는데 백업이 안되는 파일이 있다니... 권한 때문에..","dejadub 은 안써서 모르겠지만...
alt f2 로 실행시 gksu deja-dub 으로 .실행함 않되나요?","
gksu deja-dup-preferences.

gksu ""deja-dup --backup




<---------댓글----------->



*************************************************************
",백업-권한,,
69,윈도우 10 과 우분투 멀티부팅,현재 윈도우10을 설치하여 사용하고 있습니다. 쥬분투 14.04 LTS를 같이 설치하여 사용하려 하는데 설치후에 윈도우10을 인식하지 못하는 것같습니다. 방법이 없을까요?,No Comments Exist,"
터미널에 sudo update-grub을 입력후 앤터 눌러주시면 윈도우10 을 인식하고 부팅매뉴에 추가됩니다.

(윈도우즈 복구환경인가 좀 이상한 이름으로 되있긴하지만 되긴합니다)




<---------댓글----------->



윈도우즈 복구환경이라는 이름으로 부팅환경이 있기는 한데, 해당 메뉴를 선택했을 경우, 다시 grub으로 돌아와 버립니다.
이 경우 부트로더를 잘못된 위치에 설치해서 그런 건가요?



제 경우에는 grub을 하드의 최상단에 설치하니까 이상없이 윈도우 진입 가능했었습니다..
혹시 파티션내에 grub 설치하셨는지요?



*************************************************************
",우분투,,
70,듀얼모니터 사용시 한 개가 해상도가 맞지 않게 나옵니다.,"개발은 우분투에서 해볼까 라는 생각으로 설치 후 한글입력설정까지 마쳤습니다.

모니터가 두 대로서 하나는 HP, 하나는 DELL모니터인데

HP는 정상적으로 해상도조절이 가능하나

DELL모니터는 1920까지 되는 모니터임에도 불구하고, 1024까지만 조절이 가능해서

설정에 가 보니 하나는 HP어쩌고 하면서 모니터 모델명이 맞게 나오지만,

DELL모니터는 인식되지 않는 모니터라고 나오네요.

 

현재 라데온 5770을 사용 중인데, 제 생각에는 그래픽카드 드라이버를 잡아주거나

케이블을 DVI 젠더로 사용했는데, HDMI를 사용한다거나 해야 하는게 아닌가.... 싶습니다.

혹시 경험해보신 분 계실까요?",No Comments Exist,"
자문자답.

케이블을 HDMI로 변경하니 아주 잘 되네요;;




<---------댓글----------->



*************************************************************
",듀얼모니터-라데온,,
71,리눅스를 재부팅하면 파일이 원복됩니다.,"
데비안 계열의 리눅스를 사용하는 라즈베리파이를 이용해서 서버를 만들어서 이용하고 있습니다. 그런데 어느 순간부터 재부팅을 하면 시스템이 특정 날짜의 모양으로 계속 원복됩니다.
sudo reboot
명령을 이용해서 라즈베리파이를 재부팅을 하면
모든 설정 및 파일이 이전 상태로 돌아갑니다. 비밀번호를 바꾸어도 이전상태로 돌아갑니다.
관리자 비번을 바꾸어도, 홈폴더에 파일을 만들어도 위 명령을 통해서 재부팅을 하면 특정 시점으로 파일 내용이 돌아갑니다. apt-get upgrade한 내용도 되돌아 갑니다. 
며칠전에 라즈베리파이가 들어 있는 SD카드를 Win32DiskImage로 이미지 백업했습니다. 혹시 제가 파티션설정을 잘못 건드린걸까요? 딱히 바꾼건 없는것 같습니다. sudo fdisk -l 이거 해서 마운트 한것만 본 기억이 납니다.",No Comments Exist,"
sd카드가  읽기전용(Read-Only)으로 된것일거라고 추측해봅니다.

sd카드를 포맷하고 usb 카드리더기를 이용해보세요.




<---------댓글----------->



*************************************************************
","리눅스
라즈베리파이
복원
파티션",,
72,리눅스 공유 라이브러리 제작 질문입니다.,"SDL에 기반한 공유 라이브러리 제작중에 있습니다. 아래와 같은 스크립트를 만들어 공유라이브러리를 빌드하여 사용하고 있는데, SDL에 비 의존적 코드는 잘 작동하지만, SDL을 포함하면, SDL.h: No such file or directory와 같은 에러를 뱉어냅니다...

궁금한 점은 다음과 같습니다. 공유 라이브러리를 만드는 방법은 웹에 나와 있고, 만들어서 작동함을 확인해 보았습니다. 다만, 공유라이브러리를 포함하는 공유라이브러리를 만드는 방법에 대해 정보가 없습니다. 혹시 아시는 고수님들께서 도와주시면 감사하겠습니다.

 

#!/bin/sh

SRC_PATH=""../src""
DEST_PATH=""build""

SONAME=libcpt.so.1
TARGET=libcpt.so.1.0.1

#SRC=
OBJ=""cpt.o cpt_main.o cpt_page.o cpt_text.o cpt_list.o""

CFLAGS=`pkg-config --cflags sdl2`
LDFALGS=`pkg-config --libs sdl2`
COMPILE=""gcc -fPIC $CFLAGS -g -c""
LINK=""gcc -shared -Wl,-soname,""$SONAME"" -o""

rm -rf build
mkdir build
cd build

$COMPILE                 \
    $SRC_PATH/cpt.c            \
    $SRC_PATH/cpt_main.c         \
    $SRC_PATH/cpt_page.c         \
    $SRC_PATH/cpt_text.c         \
    $SRC_PATH/cpt_list.c

$LINK $TARGET $OBJ $LDFALGS",No Comments Exist,"
자문자답하게 되네요.

결론부터 말하자면 빌드시에 -I 옵션을 줘서 의존하는 라이브러리의 헤더파일의 위치를 명시해 주면 됩니다. 만약 제 라이브러리가 SDL에 의존한다면 라이브러리 빌드시에 -I/usr/lib/libSDL2 이런식으로 명시해 주면 해결됩니다.




<---------댓글----------->



*************************************************************
",c언어,,
73,Windows 10으로 부팅 시에 멀티 부팅 화면이 나오지 않습니다. (Ubuntu 14.04.2 LTS),"Windows 10 Pro K 버전과 Ubuntu 14.04.2 LTS 버전을 듀얼부팅으로 파티션 나누어서 사용하고 있습니다.
그런데 이게 이상하게, 우분투 설치 후에는 grub을 통해서 멀티부팅 화면이 잘 나타납니다...

재부팅을 하고 우분투로 들어가고 나서 다시 재부팅해도 멀티부팅 화면이 나오고, 운영체제를 선택할 수 있습니다.

그런데 여기서 Windows 로 부팅을 하고 나서 (Windows Boot Manager) 재부팅을 하면 멀티부팅 화면 (grub 화면) 이 나오지 않고 바로 Windows 10 으로 부팅이 되어 버립니다.
그 뒤에는 아무리 재부팅을 해도 멀티부팅 화면이 보이지 않습니다.

이럴 경우는 또 처음 봤네요...
어떻게 해야 하나요...?? 여러분들의 도움이 간절히 필요합니다!",No Comments Exist,"

윈도우즈 부트로더가 grub을 덮은거같습니다.
 
우분투 라이브cd로 부팅하셔서
sudo add-apt-repository ppa:yannubuntu/boot-repair
sudo apt-get update 
sudo apt-get install boot-repair
그후 boot-repair을 실행하셔서 Recommended를 따르시면 왠만한것은 거의 복원이 됩니다.




<---------댓글----------->



*************************************************************
","grub
ubuntu
windows",,
74,우분투 서버 - 한글파일 명 깨짐,"우분투 서버 14.04 설치 사용 중입니다. 

삼바 설치하고 파일서버로 사용하기 위해서 세팅 중입니다. 

문제는 윈도우즈에서 파일 백업해놓은 외장형 하드를 마운트해서 확인해보니, 한글로 된 폴더 또는 파일이름이 모두 깨져서 마름모꼴로 표시되고 있습니다. 해당 폴더를 카피해서 삼바로 연결해서 보면 한글명이 제대로 표시됩니다. 

서버 터미널에서 한글로 된 폴더 및 파일이름 깨지지 않고 볼수 있는 방법이 있을까요?",No Comments Exist,"
아래 블로그를 참고하시면 될 것 같습니다.

 

http://egloos.zum.com/ssulsamo/v/1654173




<---------댓글----------->



*************************************************************
","서버
한글",,
